Algorithm: BruteForce | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 0 | Time: 0.135000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 1 | Time: 0.100000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 2 | Time: 0.085000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 3 | Time: 0.210000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 4 | Time: 0.210000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 5 | Time: 0.195000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 6 | Time: 0.255000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 7 | Time: 0.120000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 8 | Time: 0.100000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 9 | Time: 0.100000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 10 | Time: 0.070000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 11 | Time: 0.105000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 12 | Time: 0.080000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 13 | Time: 0.065000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 14 | Time: 0.100000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 15 | Time: 0.125000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s2_empty | S1 size: 0 S2 size: 0 | Time: 0.045000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s2_empty | S1 size: 1 S2 size: 0 | Time: 0.065000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s2_empty | S1 size: 2 S2 size: 0 | Time: 0.085000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s2_empty | S1 size: 3 S2 size: 0 | Time: 0.050000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s2_empty | S1 size: 4 S2 size: 0 | Time: 0.060000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s2_empty | S1 size: 5 S2 size: 0 | Time: 0.060000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s2_empty | S1 size: 6 S2 size: 0 | Time: 0.095000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s2_empty | S1 size: 7 S2 size: 0 | Time: 0.495000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s2_empty | S1 size: 8 S2 size: 0 | Time: 0.180000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s2_empty | S1 size: 9 S2 size: 0 | Time: 0.085000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s2_empty | S1 size: 10 S2 size: 0 | Time: 0.080000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s2_empty | S1 size: 11 S2 size: 0 | Time: 0.070000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s2_empty | S1 size: 12 S2 size: 0 | Time: 0.075000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s2_empty | S1 size: 13 S2 size: 0 | Time: 0.090000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_s2_empty | S1 size: 14 S2 size: 0 | Time: 0.350000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
