Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 0 | Time: 0.476000 microsegundos | 0.000000 segundos | Memoria: 76 bytes
Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 1 | Time: 10.026200 microsegundos | 0.000010 segundos | Memoria: 80 bytes
Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 2 | Time: 0.814000 microsegundos | 0.000001 segundos | Memoria: 84 bytes
Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 3 | Time: 0.304000 microsegundos | 0.000000 segundos | Memoria: 88 bytes
Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 4 | Time: 0.552000 microsegundos | 0.000001 segundos | Memoria: 92 bytes
Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 5 | Time: 0.276000 microsegundos | 0.000000 segundos | Memoria: 96 bytes
Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 6 | Time: 0.264000 microsegundos | 0.000000 segundos | Memoria: 100 bytes
Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 7 | Time: 0.630000 microsegundos | 0.000001 segundos | Memoria: 104 bytes
Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 8 | Time: 0.474000 microsegundos | 0.000000 segundos | Memoria: 108 bytes
Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 9 | Time: 0.586000 microsegundos | 0.000001 segundos | Memoria: 112 bytes
Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 10 | Time: 0.712000 microsegundos | 0.000001 segundos | Memoria: 116 bytes
Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 11 | Time: 1.110000 microsegundos | 0.000001 segundos | Memoria: 120 bytes
Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 12 | Time: 0.624000 microsegundos | 0.000001 segundos | Memoria: 124 bytes
Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 13 | Time: 0.442000 microsegundos | 0.000000 segundos | Memoria: 128 bytes
Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 14 | Time: 0.952000 microsegundos | 0.000001 segundos | Memoria: 132 bytes
Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 15 | Time: 0.894000 microsegundos | 0.000001 segundos | Memoria: 136 bytes
Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 16 | Time: 0.492000 microsegundos | 0.000000 segundos | Memoria: 140 bytes
Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 17 | Time: 0.700000 microsegundos | 0.000001 segundos | Memoria: 144 bytes
Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 18 | Time: 0.814000 microsegundos | 0.000001 segundos | Memoria: 148 bytes
Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 19 | Time: 0.998000 microsegundos | 0.000001 segundos | Memoria: 152 bytes
Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 20 | Time: 0.878000 microsegundos | 0.000001 segundos | Memoria: 156 bytes
Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 21 | Time: 0.868000 microsegundos | 0.000001 segundos | Memoria: 160 bytes
Algorithm: DynamicSolution | Dataset: dataset_s1_empty | S1 size: 0 S2 size: 22 | Time: 1.176000 microsegundos | 0.000001 segundos | Memoria: 164 bytes
Algorithm: DynamicSolution | Dataset: dataset_s2_empty | S1 size: 0 S2 size: 0 | Time: 0.634000 microsegundos | 0.000001 segundos | Memoria: 76 bytes
Algorithm: DynamicSolution | Dataset: dataset_s2_empty | S1 size: 1 S2 size: 0 | Time: 0.572000 microsegundos | 0.000001 segundos | Memoria: 128 bytes
